#{"t_start": 1756313696.207565, "env_id": "ALE/MarioBros-v5"}
r,l,t
17600.0,2582,5841.802746
7200.0,1204,5845.338367
8800.0,980,5848.245527
4000.0,1093,5851.238866
8000.0,961,5853.717907
7200.0,1444,5984.14009
7200.0,1626,5988.779829
4000.0,1120,5992.117439
17600.0,1842,5998.478559
10400.0,1638,6005.091707
16800.0,1991,6128.0393
12000.0,1199,6131.333678
8800.0,1813,6136.28539
8000.0,1422,6140.051767
2400.0,899,6142.381929
800.0,701,6144.696006
4800.0,1129,6147.657335
8800.0,1334,6261.128631
8800.0,1375,6268.499058
4800.0,981,6275.283103
2400.0,1558,6283.260808
16800.0,2125,6290.957457
17600.0,1568,6298.089557
11200.0,1358,6465.956286
13600.0,2183,6473.255823
17600.0,1918,6480.283902
11200.0,1463,6485.816316
3200.0,976,6490.480966
8000.0,1071,6618.72784
5600.0,1696,6623.284383
6400.0,1200,6626.349676
2400.0,834,6628.592713
11200.0,1369,6632.547369
7200.0,1307,6636.249334
4000.0,1359,6640.19121
4000.0,995,6761.492679
16000.0,2029,6767.277383
15200.0,2089,6773.282297
16800.0,1929,6778.668712
17600.0,1672,6783.448547
16800.0,1959,6907.794906
12800.0,1715,6913.817519
6400.0,986,6917.202467
8800.0,1120,6921.110734
8800.0,1381,6925.951644
10400.0,1648,6931.905356
3200.0,1273,7064.141746
17600.0,1564,7068.759375
6400.0,844,7071.094887
9600.0,1055,7074.220425
9600.0,1672,7079.125857
10400.0,1160,7082.626759
4000.0,1262,7086.433038
8000.0,1580,7197.334766
17600.0,2178,7203.655787
12000.0,1694,7208.617932
11200.0,1979,7214.788661
15200.0,1760,7329.230258
12000.0,1734,7333.864743
9600.0,1485,7338.825046
5600.0,1143,7341.808714
12000.0,1567,7346.209303
9600.0,1136,7349.265112
1600.0,912,7351.734605
3200.0,821,7466.302116
17600.0,2454,7472.927774
15200.0,2003,7478.863107
5600.0,886,7481.29835
17600.0,1890,7486.685263
7200.0,1165,7602.747756
16800.0,1986,7608.465472
6400.0,1221,7612.001019
10400.0,1562,7616.345098
6400.0,832,7618.564763
12000.0,1624,7623.461263
7200.0,1283,7735.736124
17600.0,1709,7742.583045
3200.0,1340,7747.714104
11200.0,1807,7754.54959
17600.0,2119,7762.479988
8000.0,1370,7901.625012
17600.0,1871,7909.071093
5600.0,890,7911.651103
9600.0,1192,7915.913073
3200.0,1127,7921.764922
10400.0,1866,7928.561275
8800.0,1795,8039.043054
11200.0,1362,8042.526399
12000.0,1416,8046.128057
7200.0,1021,8048.665635
3200.0,1263,8051.816512
7200.0,1292,8055.077674
7200.0,1440,8058.69607
8000.0,1493,8161.632408
8800.0,1388,8165.153985
12000.0,1455,8168.850402
17600.0,1726,8173.218184
8800.0,1240,8176.381499
4000.0,1149,8179.210816
17600.0,1889,8283.092224
2400.0,837,8285.196934
6400.0,1128,8288.345063
16800.0,2401,8298.477894
11200.0,1448,8303.117007
4000.0,1231,8307.08746
9600.0,1872,8438.086668
5600.0,1019,8440.741782
7200.0,1284,8444.199399
4000.0,1486,8448.23233
17600.0,1960,8453.624066
8800.0,952,8456.120597
17600.0,1960,8582.80224
10400.0,1650,8588.188925
12000.0,1425,8593.153383
16000.0,1965,8599.10731
17600.0,2058,8604.890815
6400.0,1268,8721.321019
4800.0,1129,8724.43758
5600.0,1567,8729.331434
10400.0,1139,8732.726115
17600.0,1911,8738.466071
17600.0,1838,8862.710613
16800.0,1899,8869.067989
10400.0,1278,8872.410115
11200.0,1581,8876.472792
8800.0,1100,8879.287151
20800.0,2473,8886.460487
11200.0,1662,9010.716371
4000.0,1213,9013.935368
17600.0,1858,9019.581686
16800.0,2103,9025.479504
4800.0,1368,9029.691867
12800.0,1453,9147.179469
10400.0,1559,9151.567046
10400.0,1312,9154.990672
4000.0,1358,9158.798866
5600.0,1467,9162.582325
17600.0,1735,9168.043888
3200.0,1254,9280.125501
10400.0,1858,9284.971238
17600.0,2027,9290.528028
11200.0,1758,9295.965081
800.0,695,9297.784085
3200.0,969,9300.654663
6400.0,1289,9414.919881
11200.0,1690,9420.08157
17600.0,1935,9426.673395
5600.0,1404,9431.05857
5600.0,1193,9434.439341
17600.0,1988,9551.042387
9600.0,1841,9556.30309
9600.0,1075,9559.369757
5600.0,1493,9564.528509
7200.0,1249,9568.566753
16800.0,1547,9572.893174
11200.0,1553,9692.123073
16800.0,1777,9697.761283
7200.0,1336,9703.169058
9600.0,1199,9708.526405
4000.0,1253,9713.04896
17600.0,2300,9839.542028
9600.0,1662,9845.827528
17600.0,1973,9851.978077
5600.0,1300,9855.793499
17600.0,1703,9860.777624
12000.0,1641,9866.010117
3200.0,1099,9984.63688
16800.0,2388,9991.3619
16800.0,2187,9997.949161
5600.0,1599,10002.336077
17600.0,1865,10126.584868
3200.0,967,10129.251687
16000.0,2105,10136.113838
18400.0,2575,10145.474752
4000.0,1107,10149.502088
5600.0,1038,10152.818488
5600.0,1372,10298.844233
7200.0,1039,10302.534272
11200.0,1288,10305.915938
17600.0,1950,10311.134252
21600.0,2461,10319.151784
16000.0,1830,10436.10581
12000.0,1296,10439.468187
4000.0,1357,10443.034348
4000.0,840,10445.160945
17600.0,2282,10451.167168
5600.0,1137,10454.099933
11200.0,1592,10554.65663
12000.0,2012,10559.993149
10400.0,1662,10564.334281
12000.0,1537,10568.294498
17600.0,1853,10573.089624
11200.0,1516,10675.339437
5600.0,773,10677.279836
10400.0,1210,10680.444286
16000.0,2020,10685.635462
16800.0,2024,10690.977952
10400.0,2004,10796.494985
4800.0,1755,10801.09686
3200.0,1155,10804.063312
14400.0,2484,10810.623478
5600.0,1421,10814.334597
4000.0,1071,10817.068831
17600.0,1824,10918.902287
17600.0,2277,10924.914493
8800.0,1126,10927.723496
8000.0,1131,10930.640023
17600.0,1785,10935.352503
17600.0,1895,11040.429172
5600.0,1003,11043.097458
4000.0,1292,11046.412519
10400.0,1585,11050.527961
5600.0,1842,11055.409494
8000.0,1645,11159.867279
16800.0,2117,11165.414564
4000.0,1483,11169.251124
16800.0,1593,11173.345228
8800.0,987,11175.801588
7200.0,1391,11179.410593
17600.0,1852,11280.328541
17600.0,1772,11284.948852
17600.0,1904,11289.910739
4000.0,835,11292.0403
10400.0,1567,11296.159536
17600.0,1646,11398.972353
8800.0,1584,11403.120354
17600.0,2117,11408.680841
19200.0,2247,11414.516193
17600.0,1703,11418.961942
17600.0,2114,11523.62922
12000.0,1426,11527.305047
10400.0,1261,11530.573916
10400.0,1412,11534.228843
17600.0,1773,11538.860728
16800.0,1975,11641.50808
9600.0,1129,11644.34973
12000.0,1888,11649.16846
10400.0,1230,11652.220395
4000.0,1052,11654.886855
