#{"t_start": 1756031459.35525, "env_id": "None"}
r,l,t
0.0,73,146.612279
0.0,17,146.788998
0.0,14,146.920086
0.0,4,146.964963
0.0,10,147.106992
0.0,228,147.313058
0.0,1,147.336225
0.0,5,147.406677
0.0,23,147.436904
0.0,1,147.453473
0.0,12,147.600025
0.0,45,147.858868
2.0,212,147.89708
0.0,34,147.897144
0.0,3,147.928354
0.0,13,148.020838
0.0,155,148.056302
0.0,3,148.085327
0.0,2,148.106265
0.0,41,148.237721
0.0,47,148.356456
0.0,3,148.38587
0.0,36,148.431446
0.0,5,148.490334
0.0,42,148.833897
0.0,154,149.844421
0.0,1,149.868609
0.0,138,150.215941
0.0,109,150.429863
0.0,5,150.46474
0.0,41,150.524123
0.0,7,150.592507
0.0,2,150.695677
0.0,1,150.720413
0.0,187,150.833086
0.0,34,151.049617
0.0,3,151.081346
0.0,6,151.158104
0.0,39,151.171538
0.0,10,151.258048
0.0,62,151.494819
0.0,64,151.76303
0.0,58,151.80991
0.0,19,152.237495
0.0,15,152.37092
0.0,158,152.900775
0.0,2,152.927354
0.0,3,153.064146
0.0,77,153.58679
0.0,58,153.677136
0.0,8,153.75975
0.0,177,153.910586
0.0,11,154.004642
0.0,2,154.030843
0.0,177,154.147113
0.0,8,154.214305
0.0,3,154.244148
0.0,36,154.738987
0.0,82,154.925844
0.0,121,155.060387
2.0,144,155.126179
0.0,12,155.126266
0.0,6,155.161653
0.0,9,155.269451
0.0,24,155.552439
0.0,9,155.694092
0.0,24,155.745784
0.0,76,155.904133
0.0,5,155.963735
0.0,4,156.014367
2.0,65,267.62638
0.0,1,267.640151
0.0,34,267.652915
0.0,23,267.741818
0.0,8,267.741885
0.0,15,267.80692
0.0,2,267.835951
0.0,63,268.030114
0.0,34,268.133282
0.0,14,268.245111
0.0,54,268.470884
0.0,20,268.649175
0.0,96,268.713615
0.0,1,268.72553
1.0,11,268.746711
0.0,72,268.844113
0.0,31,269.015836
0.0,19,269.028057
0.0,5,269.071974
0.0,9,269.099386
0.0,45,269.15495
0.0,16,269.227147
1.0,28,269.297918
0.0,12,269.429952
1.0,39,269.530579
0.0,60,270.232338
2.0,257,270.275173
0.0,10,270.352378
0.0,16,270.470409
0.0,2,270.4913
0.0,106,270.604452
0.0,37,270.686033
0.0,148,270.770249
0.0,1,270.782599
0.0,24,270.802647
0.0,5,270.842053
0.0,1,270.860578
0.0,27,270.919347
0.0,4,270.977997
0.0,63,271.037469
0.0,34,271.383843
0.0,85,271.619985
0.0,2,271.639768
0.0,2,271.678467
0.0,63,272.108494
1.0,109,272.161324
0.0,27,272.352828
0.0,149,272.44624
0.0,1,272.46066
0.0,15,272.535542
0.0,12,272.61738
0.0,108,272.843867
0.0,30,272.870773
0.0,77,272.936895
0.0,11,273.049848
0.0,57,273.102185
0.0,2,273.133384
0.0,30,273.184943
0.0,34,273.196951
0.0,17,273.378684
0.0,3,273.420925
0.0,4,273.458676
0.0,25,273.659896
0.0,73,273.732841
0.0,65,273.780975
0.0,14,273.884366
0.0,14,273.987593
0.0,4,274.019929
0.0,5,274.071677
0.0,140,274.30713
0.0,3,274.333411
2.0,101,274.437657
0.0,2,274.45752
0.0,96,274.486875
0.0,18,274.486931
0.0,9,274.55785
0.0,15,274.591325
0.0,2,274.614939
0.0,9,274.649914
0.0,8,274.691143
0.0,12,274.778119
0.0,13,274.872631
0.0,75,275.069366
0.0,34,275.123751
0.0,11,275.158571
0.0,6,275.204751
0.0,11,275.285634
0.0,41,275.441164
0.0,213,275.716491
0.0,2,275.73659
0.0,62,275.769496
0.0,5,275.788678
0.0,13,275.88476
0.0,27,276.071247
0.0,11,276.162287
0.0,186,276.174656
0.0,17,276.298282
0.0,34,276.423085
0.0,7,276.488117
0.0,23,276.488183
0.0,4,276.537794
0.0,6,276.557917
0.0,4,276.5787
0.0,77,276.626421
0.0,12,276.68627
0.0,4,276.722082
0.0,12,276.819915
0.0,6,276.87743
0.0,164,276.890124
0.0,43,276.945953
0.0,37,277.21852
0.0,30,277.443446
0.0,11,277.524114
0.0,20,277.678144
0.0,136,277.738174
0.0,11,277.820875
0.0,3,277.849327
0.0,10,277.930428
0.0,151,278.076136
0.0,1,278.088923
0.0,146,278.101537
0.0,7,278.159875
0.0,9,278.171621
0.0,31,278.191304
0.0,71,278.251012
0.0,13,278.277566
0.0,4,278.289833
0.0,17,278.415033
0.0,33,278.610638
2.0,57,278.735496
0.0,46,279.079967
0.0,7,279.180017
0.0,39,279.496785
0.0,86,279.549968
0.0,22,279.735621
0.0,19,279.916254
0.0,3,279.952951
0.0,183,279.982925
0.0,4,280.022104
0.0,7,280.022166
0.0,5,280.083308
0.0,2,280.104867
0.0,25,280.386925
0.0,32,280.386979
1.0,82,280.45038
0.0,208,280.602445
1.0,14,280.615464
0.0,3,280.652832
0.0,33,280.794082
0.0,22,280.903202
0.0,12,280.916258
0.0,2,280.943624
0.0,2,280.980435
0.0,34,281.027222
0.0,60,281.139928
2.0,11,281.246091
0.0,27,281.311962
0.0,34,281.324569
0.0,15,281.431985
0.0,9,281.51812
0.0,36,281.627398
0.0,3,281.666767
0.0,53,281.715723
0.0,15,281.859531
2.0,37,281.870918
0.0,15,282.018007
2.0,21,282.102958
0.0,55,282.225904
0.0,21,282.310918
0.0,32,282.519568
0.0,49,282.732274
0.0,201,282.93198
0.0,98,282.980576
0.0,4,282.980639
0.0,12,283.125219
0.0,60,283.148013
0.0,3,283.168233
0.0,2,283.215721
1.0,13,283.298455
0.0,61,283.422542
0.0,14,283.455938
0.0,47,283.51815
0.0,10,283.557432
0.0,12,283.674999
0.0,16,283.691134
0.0,25,283.721382
0.0,5,283.772506
0.0,32,283.951647
0.0,156,284.610561
0.0,89,284.753088
0.0,116,284.805275
0.0,14,284.80538
0.0,3,284.843414
0.0,5,284.896613
0.0,139,284.956522
0.0,3,285.003145
0.0,18,285.109274
0.0,31,285.1817
0.0,23,285.25478
0.0,12,285.300155
0.0,17,285.462429
0.0,36,285.670545
0.0,2,285.763687
0.0,140,286.440227
0.0,65,287.167107
0.0,16,287.288978
0.0,3,287.314713
0.0,144,397.774753
0.0,2,397.800756
0.0,6,397.800823
0.0,2,397.822085
0.0,2,397.841484
0.0,3,397.879422
1.0,181,397.912726
0.0,1,397.925182
0.0,2,397.946463
0.0,219,397.986359
0.0,5,397.99946
0.0,15,398.156417
0.0,23,398.227276
0.0,1,398.241186
0.0,3,398.274311
