#{"t_start": 1756398273.156778, "env_id": "ALE/MarioBros-v5"}
r,l,t
0.0,1044,1567.411018
0.0,969,1573.050619
0.0,991,1578.797126
1600.0,1740,1589.100547
0.0,1419,1597.35156
0.0,737,1601.544978
0.0,2485,1616.710305
0.0,2414,1631.064185
0.0,880,1636.079899
0.0,1980,1647.817557
0.0,1348,1655.89532
800.0,616,1659.211286
0.0,713,1663.169291
0.0,1020,1668.808517
800.0,1551,1677.918328
0.0,721,1682.027753
0.0,1527,1690.853548
800.0,1481,1699.523234
800.0,542,1702.534212
0.0,987,1708.192197
0.0,1521,1717.046655
0.0,937,1722.335843
0.0,472,1724.804085
0.0,683,1728.614325
0.0,484,1731.138205
0.0,1498,1740.299919
0.0,1279,1747.724454
0.0,696,1751.451348
0.0,1523,1760.366822
0.0,1550,1769.451666
0.0,869,1774.444869
800.0,1639,1783.987772
0.0,782,1788.30392
0.0,992,1793.854168
800.0,990,1799.523434
0.0,693,1803.415138
800.0,1455,1811.919347
0.0,717,1815.910434
800.0,1927,1827.191996
0.0,828,1831.863678
0.0,748,1836.128322
0.0,887,1840.990106
0.0,766,1845.242653
0.0,1283,1852.670381
0.0,1263,1859.978566
4000.0,1256,1867.335862
0.0,1436,1875.954395
0.0,790,1880.642281
0.0,1130,1887.87316
800.0,2010,1900.652299
1600.0,691,1904.917728
800.0,2131,1917.788111
800.0,2063,1930.311527
1600.0,2128,1944.030364
0.0,1036,1951.281349
0.0,1356,1959.92723
1600.0,1566,1969.819273
0.0,683,1974.052726
0.0,2214,1987.75282
1600.0,1451,1997.068075
1600.0,1756,2011.861265
0.0,1581,2025.737409
0.0,1385,2036.507603
0.0,1703,2046.957182
0.0,1018,2052.799412
2400.0,1023,2058.735929
0.0,2126,2072.15483
0.0,2547,2087.659626
1600.0,1861,2098.689989
0.0,1334,2106.711268
1600.0,1422,2115.102246
0.0,396,2117.127312
0.0,1060,2123.332367
0.0,546,2126.163167
0.0,2073,2139.415052
0.0,1628,2149.293456
0.0,673,2153.413129
0.0,966,2158.870633
0.0,1330,2166.688641
0.0,182,2167.506256
0.0,1419,2177.258114
0.0,618,2181.694581
800.0,1978,2200.379949
0.0,1333,2210.683977
0.0,1236,2220.136613
0.0,1519,2232.288145
0.0,1556,2244.02004
0.0,1957,2258.31051
0.0,1359,2275.381865
0.0,2017,2292.856859
0.0,1198,2304.356424
1600.0,2071,2324.955988
1600.0,2384,2345.978458
0.0,1984,2362.437539
0.0,757,2376.479128
0.0,2278,2393.402774
0.0,680,2397.752756
1600.0,1962,2411.864668
800.0,2078,2426.166997
0.0,1901,2439.846556
0.0,838,2445.468663
1600.0,2256,2460.953738
0.0,1573,2472.140011
0.0,764,2477.19067
0.0,1579,2488.725798
0.0,1032,2496.005814
0.0,1112,2503.451491
0.0,1740,2516.287967
0.0,1261,2524.866562
0.0,743,2529.917589
0.0,1399,2539.542937
1600.0,2040,2554.067069
0.0,1651,2566.776528
0.0,1270,2575.705937
0.0,1432,2585.955731
0.0,1378,2595.248828
800.0,1524,2608.550264
0.0,1812,2629.958141
0.0,693,2636.070966
0.0,1047,2647.26864
0.0,2012,2666.633514
0.0,1560,2678.606913
0.0,515,2682.530653
0.0,1498,2694.551721
0.0,1070,2702.640369
0.0,835,2708.847859
1600.0,2102,2724.722175
0.0,396,2727.19972
0.0,241,2728.411008
0.0,1350,2737.797643
0.0,1470,2748.731571
800.0,2210,2766.670522
1600.0,1246,2775.519712
0.0,743,2780.488488
0.0,2000,2794.911655
0.0,2100,2810.387219
0.0,1071,2818.044088
800.0,2172,2834.348878
0.0,743,2839.752015
800.0,1937,2853.97048
0.0,1284,2862.982896
0.0,1390,2872.841291
0.0,1291,2881.704911
1600.0,1551,2892.386566
0.0,985,2898.976552
0.0,219,2900.070848
0.0,1724,2912.149575
0.0,1666,2923.657378
0.0,1418,2933.423685
800.0,600,2937.350115
0.0,1661,2948.724977
0.0,2256,2964.543067
0.0,1683,2976.173365
0.0,413,2978.737782
800.0,2274,2994.326742
0.0,1031,3001.246043
0.0,1993,3014.893539
0.0,1867,3027.743306
800.0,2335,3043.770082
0.0,1372,3052.906873
0.0,1368,3062.127121
0.0,1315,3070.87023
0.0,1021,3077.43017
0.0,2060,3091.321292
0.0,2060,3105.568699
0.0,1770,3117.421981
0.0,1306,3126.103928
0.0,1311,3135.348987
0.0,2099,3149.855845
0.0,1351,3159.006313
0.0,1690,3170.885816
0.0,1824,3183.262658
1600.0,1952,3196.525579
2400.0,2054,3210.352517
0.0,714,3214.92845
0.0,1028,3221.85923
0.0,1350,3230.81919
0.0,2732,3249.633224
0.0,820,3254.949402
1600.0,1444,3264.617063
0.0,2036,3278.280567
0.0,2100,3292.887431
0.0,2068,3306.948659
1600.0,1320,3315.744361
0.0,828,3321.227403
0.0,2418,3337.81446
0.0,1564,3348.248157
0.0,1986,3361.612601
0.0,959,3367.95599
0.0,826,3373.391026
0.0,2066,3387.52586
0.0,1966,3400.954747
0.0,615,3404.816955
0.0,1549,3415.253983
0.0,1521,3425.419279
0.0,2063,3439.460571
800.0,1962,3452.84267
0.0,979,3459.239968
0.0,1566,3469.942884
0.0,2274,3485.337167
800.0,955,3491.48935
0.0,2024,3505.215636
0.0,1448,3515.000863
0.0,1726,3526.602092
0.0,1975,3540.004392
0.0,1483,3549.944425
0.0,1974,3563.373308
0.0,2072,3577.567109
0.0,1868,3590.140105
0.0,1314,3598.789624
0.0,1861,3611.342745
0.0,1580,3621.899582
800.0,2312,3637.650863
0.0,1638,3648.779132
800.0,2064,3663.254705
0.0,1744,3675.064062
0.0,1450,3685.037634
0.0,1279,3693.771896
0.0,2204,3708.827164
0.0,1633,3719.920842
0.0,1073,3726.889212
1600.0,2494,3743.928032
0.0,2037,3758.002999
0.0,1978,3771.389165
0.0,1395,3780.850049
0.0,1337,3789.889218
1600.0,1564,3800.614787
0.0,2252,3816.006631
0.0,1593,3826.708841
0.0,1326,3835.614891
0.0,1983,3849.343413
0.0,2353,3865.33564
0.0,1962,3879.005853
800.0,2263,3894.419791
1600.0,2179,3909.131199
0.0,1560,3921.089872
0.0,2072,3941.292319
0.0,1905,3957.779807
0.0,1968,3970.367217
0.0,2398,3985.97454
