#{"t_start": 1756313696.3810089, "env_id": "ALE/MarioBros-v5"}
r,l,t
17600.0,1850,7.51762
10400.0,1569,12.546439
17600.0,1856,17.538832
5600.0,919,19.992712
11200.0,1971,25.31526
12000.0,1621,146.361789
16800.0,2193,154.49825
5600.0,839,157.404592
5600.0,1195,160.673153
12000.0,1596,166.174744
8800.0,1082,169.938389
16000.0,2400,300.842234
7200.0,1552,304.939765
16800.0,2007,310.301724
11200.0,1496,314.819933
5600.0,1222,318.14043
6400.0,1398,449.495652
17600.0,2057,458.471202
10400.0,1380,462.360865
16800.0,2165,469.804138
4000.0,1080,473.748145
4800.0,1754,587.863859
17600.0,1976,593.348072
17600.0,1994,598.927067
11200.0,1317,602.291496
4000.0,1176,605.592858
17600.0,2121,722.42957
5600.0,1111,727.209325
16800.0,1799,734.642998
4000.0,906,737.046236
8800.0,1048,739.751641
16800.0,2224,745.756279
5600.0,915,865.7645
16000.0,2177,871.551132
11200.0,1269,875.236956
5600.0,990,878.172009
7200.0,1802,883.573549
4000.0,1189,887.10233
10400.0,1513,1016.24796
17600.0,1808,1024.09535
7200.0,1019,1027.832008
6400.0,1290,1031.795003
16800.0,2378,1038.675769
5600.0,788,1041.105847
7200.0,1061,1151.555766
4000.0,1159,1155.509678
8800.0,1590,1161.155706
16800.0,2205,1168.703793
12000.0,1617,1174.169941
8800.0,1211,1178.512616
16800.0,2359,1321.840794
8800.0,1219,1325.288074
16800.0,2105,1332.147929
4800.0,732,1335.817812
17600.0,2054,1345.023433
3200.0,1261,1469.87712
9600.0,1375,1473.79078
17600.0,1662,1478.803698
17600.0,2110,1485.372649
17600.0,1842,1491.625688
10400.0,1617,1611.886068
3200.0,1394,1616.015033
7200.0,1503,1620.392805
11200.0,1107,1623.47764
19200.0,1767,1628.651849
8800.0,1309,1632.906422
12000.0,1278,1750.894216
16000.0,1737,1755.936464
5600.0,1063,1758.64641
11200.0,1682,1763.440083
9600.0,1424,1767.232591
6400.0,1437,1770.897769
11200.0,1577,1892.538392
17600.0,2147,1902.998956
6400.0,1058,1907.017381
17600.0,2050,1914.94998
4000.0,1135,1918.960824
16800.0,1866,2036.51158
12000.0,1573,2040.882458
4800.0,1159,2043.998812
12000.0,1543,2048.179789
7200.0,1279,2051.657609
17600.0,1853,2056.957346
17600.0,2316,2187.93291
16800.0,1969,2194.005277
6400.0,1246,2197.791403
4800.0,991,2200.57464
12000.0,1388,2204.40666
1600.0,1045,2207.554255
4800.0,1376,2325.083379
9600.0,1841,2330.483843
17600.0,2221,2336.800922
16800.0,1775,2341.611662
9600.0,1324,2345.244098
10400.0,1653,2461.797223
10400.0,1435,2466.127157
10400.0,1848,2471.710503
17600.0,2606,2479.608806
5600.0,1228,2603.981212
7200.0,1218,2607.876102
16800.0,2063,2613.545908
11200.0,1875,2619.277291
8800.0,1259,2623.586123
5600.0,1412,2628.220553
11200.0,1564,2743.159739
17600.0,1662,2747.906504
8800.0,1214,2751.363779
17600.0,1914,2757.339273
4000.0,1112,2760.450047
7200.0,1458,2764.53705
4000.0,1295,2886.493276
17600.0,2073,2892.387324
16800.0,1900,2897.872943
4800.0,911,2900.340081
16800.0,1987,2905.882506
16800.0,1844,3021.294993
12000.0,1442,3026.102765
5600.0,1103,3029.403465
19200.0,2117,3036.360374
3200.0,840,3038.907844
17600.0,2041,3172.409957
5600.0,1210,3177.282602
17600.0,1775,3182.978789
8800.0,1281,3186.6724
4000.0,1472,3190.839897
16000.0,1786,3195.901219
12000.0,1765,3314.082805
11200.0,1719,3318.432396
10400.0,1488,3322.231838
17600.0,2087,3327.570262
12000.0,2387,3333.808549
16800.0,2994,3444.821412
7200.0,1302,3448.298999
7200.0,1248,3451.745273
5600.0,1017,3454.582161
12000.0,1992,3461.174713
17600.0,1733,3597.150192
10400.0,1485,3601.048178
12000.0,1515,3604.986459
11200.0,1833,3610.041954
7200.0,1283,3613.527079
11200.0,1689,3729.694208
5600.0,1050,3732.525993
1600.0,840,3734.836609
12000.0,1985,3740.491678
17600.0,2257,3746.935554
11200.0,1424,3750.957029
7200.0,967,3862.16449
11200.0,1523,3866.044534
7200.0,969,3868.41122
17600.0,2362,3874.51054
5600.0,1515,3878.345777
8800.0,1054,3880.996663
5600.0,1097,3982.387616
16000.0,1824,3986.968064
