#{"t_start": 1756313696.073835, "env_id": "ALE/MarioBros-v5"}
r,l,t
12000.0,2010,8.28843
10400.0,1272,12.49885
16000.0,2170,18.404253
4000.0,1369,21.96682
5600.0,1039,24.784904
9600.0,1072,142.850739
17600.0,2044,151.073666
19200.0,1843,157.803093
3200.0,721,159.699579
7200.0,1704,165.449367
4000.0,985,168.156558
4000.0,1254,296.760476
17600.0,1764,301.514239
12000.0,1445,305.353795
17600.0,2164,311.235241
10400.0,1187,314.70422
16800.0,2142,448.163008
17600.0,2140,456.601513
7200.0,1199,460.9482
11200.0,1639,465.177015
17600.0,1759,472.286264
3200.0,832,475.000092
5600.0,1049,586.909679
17600.0,1909,592.139661
3200.0,835,594.434781
1600.0,912,597.001124
12000.0,2896,604.921173
10400.0,1284,608.915819
17600.0,1579,723.822702
8800.0,1088,728.581963
10400.0,1687,735.720412
8000.0,2507,742.39477
11200.0,1505,746.356074
17600.0,2103,869.622202
6400.0,1511,873.554139
4000.0,1103,876.913941
17600.0,1888,882.582411
4000.0,1150,886.069512
10400.0,1350,1013.905543
17600.0,1942,1022.342767
6400.0,1404,1027.870878
9600.0,1511,1032.639317
8800.0,1438,1036.476634
8800.0,1369,1040.684702
4000.0,1070,1151.288304
5600.0,1415,1156.017171
16800.0,1813,1162.36318
5600.0,1013,1165.537461
4000.0,1256,1170.079782
4000.0,967,1173.078254
17600.0,2100,1316.677969
12000.0,1359,1320.566205
17600.0,2316,1327.212312
8800.0,1052,1330.134559
17600.0,1907,1339.311321
17600.0,1759,1467.871744
5600.0,1304,1471.505787
16800.0,1805,1476.665805
10400.0,1519,1481.583623
17600.0,1999,1487.497609
6400.0,1128,1491.262896
16800.0,1977,1612.820783
9600.0,1680,1617.759839
17600.0,1931,1623.445116
5600.0,986,1626.253412
4800.0,1794,1631.814387
15200.0,1970,1751.953562
4000.0,1126,1755.128116
12000.0,1643,1759.654
17600.0,2597,1766.882314
18400.0,2584,1890.75638
8800.0,1582,1896.732666
16800.0,1823,1905.836939
11200.0,1484,1911.580716
6400.0,1689,1917.872877
16800.0,1997,2036.129284
11200.0,1348,2039.830479
4000.0,783,2041.912438
17600.0,2075,2047.68081
4000.0,1208,2050.906467
4800.0,1746,2055.837866
7200.0,906,2058.296565
8800.0,1344,2186.210372
16800.0,1638,2191.403808
6400.0,1130,2194.724633
8800.0,1810,2200.167648
17600.0,2294,2206.894592
17600.0,2413,2327.47645
17600.0,1867,2333.313265
8800.0,1297,2336.714118
9600.0,1703,2341.212458
11200.0,1915,2458.890833
12000.0,1665,2463.324794
17600.0,2079,2469.694095
17600.0,1897,2475.136207
17600.0,1792,2481.078054
9600.0,1575,2606.433476
5600.0,1066,2609.384577
8800.0,1286,2612.885765
12000.0,1433,2616.883599
17600.0,1558,2621.956835
8800.0,988,2625.711146
17600.0,2154,2742.402322
6400.0,1525,2746.851245
8000.0,1285,2750.531016
11200.0,1662,2755.811513
11200.0,1588,2760.371429
4000.0,1597,2764.929934
8000.0,1353,2887.072794
16800.0,2406,2893.970678
17600.0,2082,2899.886235
7200.0,1209,2903.19203
16800.0,1825,2908.238244
10400.0,1284,3022.05844
5600.0,1112,3025.673863
3200.0,928,3028.599919
11200.0,1448,3033.480945
5600.0,913,3036.132034
11200.0,1542,3040.974194
12000.0,1643,3173.169947
16800.0,1932,3180.550737
17600.0,1988,3186.38232
5600.0,1465,3190.467459
3200.0,914,3192.997774
4000.0,1130,3196.085702
12000.0,1952,3314.761297
17600.0,1744,3319.217709
7200.0,1515,3323.088753
5600.0,1522,3326.889113
7200.0,1282,3330.090848
5600.0,1217,3333.22338
9600.0,1936,3441.442904
17600.0,1864,3446.250107
8800.0,1005,3448.928934
4000.0,988,3451.659768
16800.0,2170,3457.912033
8800.0,1351,3593.666466
12000.0,1577,3598.090485
8000.0,1660,3602.484202
16800.0,2156,3608.134751
4800.0,988,3610.910131
12000.0,1931,3727.803885
17600.0,1974,3733.370607
8000.0,1057,3736.243527
17600.0,1761,3741.236761
4000.0,1453,3745.246228
4000.0,1059,3748.227747
5600.0,1387,3860.860605
5600.0,839,3862.931181
10400.0,1562,3866.878712
17600.0,2059,3872.208611
7200.0,1934,3877.140866
16000.0,2169,3981.335526
17600.0,1900,3986.132449
11200.0,1120,3988.911237
17600.0,2098,3994.280465
5600.0,1221,3997.380974
5600.0,1042,4000.161249
10400.0,1437,4125.866853
8800.0,1439,4130.542955
4800.0,1540,4135.886245
12000.0,1223,4139.987541
4000.0,1174,4143.74711
12000.0,1998,4150.499501
11200.0,1407,4259.33101
6400.0,1380,4264.091399
17600.0,1889,4270.91944
10400.0,1436,4274.948037
4000.0,1201,4278.34864
12000.0,1791,4283.10009
17600.0,1809,4410.747978
