#{"t_start": 1756313696.299205, "env_id": "ALE/MarioBros-v5"}
r,l,t
17600.0,2217,6006.006263
9600.0,1487,6127.351679
17600.0,1799,6132.3589
5600.0,1428,6136.222234
17600.0,2012,6141.683017
8000.0,1272,6145.716882
10400.0,1794,6260.276311
12000.0,1834,6270.588166
4000.0,1217,6277.769692
5600.0,1020,6282.886102
17600.0,1876,6289.78234
15200.0,1826,6297.731759
8800.0,986,6464.460863
11200.0,1425,6469.128912
10400.0,1774,6475.198689
12000.0,1496,6480.597324
17600.0,2256,6490.507566
9600.0,1711,6620.473858
16000.0,2225,6626.502748
11200.0,1303,6630.160952
8800.0,1352,6633.975259
12000.0,2014,6639.95172
12000.0,1234,6761.998781
16000.0,2179,6768.211485
16800.0,1794,6773.369962
4000.0,1161,6776.517052
6400.0,1278,6780.032155
16800.0,2460,6905.462786
11200.0,1663,6911.147561
3200.0,1104,6914.970841
10400.0,1560,6920.468324
5600.0,1002,6923.970479
11200.0,1633,6929.950981
17600.0,1848,7064.326544
12000.0,1649,7069.231024
7200.0,1141,7072.400472
4800.0,1138,7075.829456
11200.0,1198,7079.34737
8800.0,1722,7084.561929
17600.0,1576,7195.83044
5600.0,1226,7199.157945
12000.0,1565,7203.579801
5600.0,930,7206.289346
17600.0,2309,7213.19215
6400.0,1128,7216.503385
4000.0,1114,7328.980742
5600.0,1665,7333.451695
11200.0,1718,7339.139275
16800.0,1859,7344.389983
11200.0,1262,7347.630628
4000.0,1997,7465.688906
17600.0,2118,7471.201326
17600.0,2013,7477.24569
17600.0,2070,7483.155389
7200.0,1066,7486.067751
17600.0,2136,7605.031559
16000.0,1808,7610.235452
17600.0,2273,7616.666789
5600.0,840,7618.986715
7200.0,1270,7622.783985
5600.0,910,7625.258502
8800.0,1218,7738.082274
8800.0,1311,7743.274146
8000.0,1016,7747.024236
5600.0,1355,7752.042966
11200.0,2084,7759.829117
10400.0,1836,7766.696795
10400.0,1252,7906.245085
16800.0,1859,7912.157783
16800.0,1816,7920.488315
8800.0,1237,7925.477711
17600.0,2230,7932.233887
10400.0,1270,8040.864413
11200.0,1415,8044.526089
17600.0,1972,8049.528094
8800.0,1406,8053.074428
4000.0,1441,8056.663737
4000.0,1411,8060.372724
17600.0,1688,8163.773532
11200.0,1407,8167.342525
8800.0,1807,8171.889146
4000.0,1663,8176.203547
16800.0,1896,8181.078529
4800.0,842,8282.029811
5600.0,848,8284.275267
17600.0,1810,8289.632119
16800.0,2149,8299.034237
19200.0,2044,8305.677284
10400.0,1571,8435.911136
8800.0,984,8438.589474
17600.0,1632,8442.999906
17600.0,1839,8447.997731
3200.0,889,8450.315382
2400.0,1548,8454.48815
9600.0,1532,8579.693016
17600.0,1713,8584.91498
4000.0,1151,8588.842542
10400.0,1459,8593.792403
17600.0,1557,8598.546502
10400.0,1224,8602.159756
17600.0,1849,8719.997384
4000.0,1240,8723.464143
12800.0,1649,8728.513305
8800.0,1153,8731.889802
4000.0,1157,8735.563814
8800.0,1398,8739.608196
7200.0,1290,8861.981628
4000.0,907,8864.773891
16000.0,2198,8871.507577
17600.0,1896,8876.472646
16000.0,1855,8881.69632
3200.0,1203,8885.013926
17600.0,2022,9010.352887
3200.0,1098,9013.228806
12000.0,1244,9016.870845
5600.0,1415,9020.911971
3200.0,921,9023.25671
7200.0,1457,9027.84458
10400.0,1509,9145.236971
10400.0,1141,9148.936709
10400.0,2098,9154.638305
9600.0,1368,9158.466498
16000.0,1808,9163.208835
17600.0,1946,9278.103588
10400.0,1513,9282.048029
5600.0,1452,9285.708834
11200.0,1450,9289.698832
9600.0,1351,9293.668627
17600.0,1597,9298.299508
5600.0,1084,9412.149743
7200.0,1347,9415.901422
