#{"t_start": 1756398273.411338, "env_id": "ALE/MarioBros-v5"}
r,l,t
1600.0,836,4.114279
0.0,694,5.486314
1600.0,1407,8.525929
0.0,905,10.382559
800.0,1658,14.127623
0.0,828,15.708456
0.0,835,17.260078
0.0,1513,20.539709
0.0,550,21.674148
0.0,1198,24.200511
0.0,1489,27.244962
0.0,717,28.688164
0.0,1275,31.458706
0.0,410,32.231419
0.0,433,33.096528
0.0,384,33.832538
0.0,666,35.469287
0.0,760,36.964652
0.0,550,37.987201
0.0,1579,41.510764
0.0,1138,44.571386
0.0,1204,47.059847
0.0,952,48.984263
0.0,910,50.797892
0.0,259,51.252469
0.0,966,53.206372
0.0,804,54.845007
0.0,782,56.638868
0.0,615,58.325881
0.0,185,58.684557
1600.0,1214,62.321708
0.0,1676,66.00135
800.0,1496,69.35012
1600.0,1020,71.69619
0.0,394,72.411577
0.0,973,74.312472
800.0,835,76.03669
0.0,880,77.971999
0.0,1167,80.692565
0.0,711,84.493536
0.0,606,86.81711
0.0,1288,89.893039
1600.0,1709,93.640586
0.0,888,95.595179
0.0,596,97.136527
0.0,727,98.986237
0.0,832,101.368119
0.0,917,104.132076
0.0,536,105.779961
0.0,570,107.643293
0.0,703,110.19815
0.0,548,111.77046
800.0,1750,116.647888
0.0,828,119.108684
1600.0,1635,123.202843
0.0,296,123.826588
0.0,1586,128.060891
1600.0,630,129.825976
0.0,1706,141.696621
0.0,394,143.870996
0.0,675,147.775123
0.0,1162,153.955133
0.0,278,155.48342
0.0,618,158.919238
0.0,949,164.075654
800.0,1075,169.919623
0.0,1238,177.151627
0.0,725,180.981029
0.0,361,182.700068
0.0,619,185.820833
0.0,1458,194.54456
0.0,1521,203.03849
0.0,834,208.573624
0.0,324,210.330019
0.0,631,214.336628
0.0,1056,222.451469
0.0,1017,230.677363
3200.0,1800,241.271646
0.0,1528,250.699497
0.0,1200,259.937634
0.0,696,264.353811
0.0,696,268.677819
0.0,689,272.702217
800.0,1268,281.588988
800.0,1470,289.724019
0.0,668,293.6742
0.0,847,298.73677
0.0,709,303.632813
0.0,1482,313.937055
800.0,1853,327.768263
0.0,616,331.484062
2400.0,529,334.89684
0.0,570,338.378718
0.0,686,342.232193
1600.0,669,345.781075
0.0,698,349.532713
0.0,395,351.824028
0.0,330,353.487421
0.0,1561,363.134381
0.0,1421,372.977562
0.0,692,377.002379
1600.0,687,380.998369
0.0,708,386.101061
0.0,700,390.334517
0.0,697,395.335252
0.0,1004,401.706049
0.0,690,407.145422
1600.0,350,409.154379
0.0,747,414.454831
800.0,767,418.920043
0.0,502,421.698087
1600.0,559,425.077024
0.0,461,427.757187
0.0,696,432.063358
1600.0,1759,445.759717
0.0,828,450.577565
800.0,1379,459.387823
0.0,838,464.697007
0.0,873,471.093141
0.0,2040,489.006592
0.0,1282,497.5844
0.0,2162,510.522686
0.0,534,513.564381
0.0,324,515.107296
0.0,1172,522.808118
0.0,1016,528.721891
800.0,696,532.588528
0.0,681,536.378618
0.0,1478,544.886982
0.0,1021,550.958763
0.0,838,555.820252
0.0,948,561.899281
1600.0,472,565.127341
0.0,826,571.137849
0.0,1542,582.482141
0.0,2519,598.561048
0.0,1363,606.735949
0.0,1475,615.704902
0.0,892,620.741765
0.0,1482,629.348693
800.0,833,634.224833
1600.0,1034,642.291303
1600.0,1029,650.901076
0.0,838,657.204748
1600.0,1561,668.289198
0.0,238,669.518733
0.0,1160,677.68436
0.0,1663,687.874884
0.0,213,689.053489
1600.0,725,692.950324
800.0,1092,699.024119
0.0,968,704.493864
0.0,1108,710.868717
0.0,1744,721.893086
0.0,909,729.510604
0.0,1420,740.34362
0.0,987,747.351539
