#{"t_start": 1756398273.323046, "env_id": "ALE/MarioBros-v5"}
r,l,t
0.0,862,4.280134
0.0,878,6.058433
0.0,1102,8.30602
0.0,1393,11.299299
0.0,1861,15.406142
0.0,1288,17.954256
0.0,1703,21.70882
0.0,581,22.897264
0.0,1265,25.504801
0.0,695,26.817285
0.0,1036,28.968489
0.0,689,30.509887
0.0,1192,33.050054
0.0,685,34.534846
0.0,367,35.245816
0.0,1217,37.864346
0.0,835,39.50654
2400.0,1153,42.208582
0.0,1448,45.83641
0.0,626,47.089889
0.0,1404,49.898624
0.0,966,51.976978
0.0,900,53.786175
0.0,1142,56.146171
0.0,438,57.513182
0.0,869,59.930736
1600.0,1021,62.798768
1600.0,1119,65.059993
0.0,985,67.384751
0.0,640,68.648486
0.0,1548,72.152374
0.0,899,73.868792
0.0,1110,76.255706
0.0,1126,78.769865
0.0,1513,84.535605
0.0,1692,89.626402
0.0,781,91.328577
0.0,837,92.984396
0.0,513,94.123326
0.0,854,95.994242
0.0,692,97.769393
0.0,910,99.895379
0.0,828,102.853174
0.0,840,105.336327
0.0,700,107.592888
0.0,2005,114.09033
0.0,938,116.59894
1600.0,1403,120.46854
0.0,495,121.594233
0.0,450,122.544271
0.0,828,124.660502
1600.0,1058,127.406562
0.0,992,130.19987
0.0,917,137.109529
1600.0,1258,145.277934
0.0,601,148.503503
0.0,681,151.963441
1600.0,698,156.013666
0.0,799,160.44412
0.0,392,162.39926
0.0,757,166.500679
0.0,967,171.803258
0.0,1880,182.588918
0.0,753,186.589394
800.0,694,190.795477
0.0,818,195.270435
0.0,392,197.216277
0.0,1120,203.299515
0.0,2464,221.491105
0.0,688,227.138142
800.0,1454,236.59133
0.0,675,240.114978
0.0,1196,247.199564
0.0,1169,255.677254
0.0,700,260.437989
1600.0,632,264.321445
1600.0,1485,274.07528
800.0,1418,283.90025
0.0,1500,292.355087
0.0,550,295.744919
0.0,560,298.914711
3200.0,704,303.9021
800.0,724,309.017581
0.0,698,313.208043
0.0,833,319.500591
0.0,712,324.222769
0.0,1207,332.403125
0.0,547,335.829456
3200.0,406,338.159753
0.0,487,340.819126
0.0,814,345.358088
0.0,1843,356.423888
0.0,1641,367.535664
0.0,1020,374.1036
0.0,577,377.209522
1600.0,626,380.852218
1600.0,452,384.002542
0.0,1781,396.507126
0.0,686,400.750897
0.0,1601,413.301947
0.0,1237,420.777731
0.0,383,423.0355
800.0,390,425.47021
800.0,1018,431.815589
0.0,713,436.682044
0.0,904,444.243041
800.0,1777,455.316192
0.0,630,459.164628
0.0,664,463.47047
800.0,1112,471.479831
0.0,730,476.283852
0.0,2640,498.260544
800.0,1411,506.451124
0.0,684,510.253828
0.0,426,512.641713
0.0,993,518.672439
0.0,1362,527.286798
0.0,175,528.005823
0.0,740,532.070945
0.0,1318,539.76222
0.0,712,543.654021
0.0,1307,551.469134
800.0,1432,560.600384
800.0,1684,572.853842
0.0,388,575.187912
0.0,404,577.52399
0.0,322,580.193145
0.0,835,586.046133
1600.0,1272,593.581417
0.0,762,597.904873
0.0,1241,605.28021
0.0,1695,615.503113
0.0,1204,622.434017
0.0,412,624.510657
0.0,1858,635.721415
0.0,238,636.813971
0.0,1117,647.208125
0.0,394,649.691041
0.0,975,657.007186
0.0,994,663.946707
0.0,396,666.459923
0.0,1112,674.127801
0.0,390,676.540009
0.0,831,682.08689
0.0,774,686.286505
0.0,392,688.26205
0.0,587,691.542861
0.0,176,692.2673
0.0,794,696.591819
800.0,1214,703.407307
0.0,1259,710.672702
800.0,1044,716.934498
0.0,836,722.251827
0.0,1471,734.536228
0.0,819,740.211666
800.0,1529,752.829988
0.0,790,758.328321
0.0,1242,765.643138
0.0,1973,777.274255
0.0,923,782.291131
0.0,391,784.356427
0.0,694,788.223944
0.0,1476,796.769563
0.0,1131,803.595863
800.0,601,806.924345
0.0,402,809.291772
0.0,625,812.662555
0.0,778,817.018292
1600.0,923,822.087114
800.0,618,825.344939
0.0,964,830.811588
0.0,1025,837.203227
0.0,1509,846.145719
0.0,1408,854.075174
800.0,1233,861.060369
0.0,990,866.602209
0.0,908,872.048216
800.0,796,876.633663
1600.0,2295,890.269194
0.0,1560,899.159226
2400.0,2156,911.833066
0.0,1228,918.77855
800.0,1229,926.046279
0.0,2005,937.892564
0.0,1332,945.501551
0.0,1640,955.000269
0.0,1112,961.201648
0.0,1130,967.601754
0.0,1124,974.107709
0.0,430,976.254855
0.0,908,982.59517
800.0,398,984.984937
0.0,1144,993.107082
0.0,400,995.924524
0.0,1430,1006.905347
0.0,1650,1016.518527
800.0,917,1021.779751
0.0,1564,1031.544332
0.0,560,1034.572727
1600.0,1055,1040.694996
0.0,698,1044.540826
0.0,1090,1050.805591
0.0,908,1055.917409
800.0,708,1059.810657
0.0,1295,1067.174373
0.0,1058,1073.232141
0.0,2060,1085.339845
0.0,963,1090.659563
0.0,1395,1098.503595
0.0,1049,1104.572312
0.0,1192,1111.464813
0.0,1559,1120.483023
0.0,1021,1126.269587
0.0,2044,1138.641523
1600.0,1545,1147.961355
0.0,1189,1155.288951
0.0,1022,1161.012328
0.0,1227,1167.978203
1600.0,1787,1178.495014
0.0,410,1180.665949
0.0,1348,1188.694021
800.0,538,1191.581011
0.0,1720,1202.954542
0.0,1080,1209.232378
0.0,1182,1215.917022
0.0,949,1221.344153
0.0,1899,1232.774788
800.0,1778,1243.776111
1600.0,1427,1252.597193
0.0,1405,1261.148822
800.0,1890,1272.19524
0.0,1488,1280.758813
0.0,1637,1290.10286
0.0,645,1293.7043
800.0,1434,1302.093428
0.0,1663,1311.753329
0.0,1055,1317.742204
0.0,1222,1324.704002
0.0,991,1330.365246
0.0,395,1332.436381
800.0,1171,1339.235608
0.0,657,1342.8378
0.0,615,1346.114775
1600.0,1487,1355.266598
0.0,908,1360.645332
800.0,828,1365.244698
0.0,1204,1372.057542
0.0,861,1377.257536
0.0,1129,1383.822308
0.0,1531,1392.815649
800.0,2263,1406.18399
0.0,1268,1413.580792
0.0,415,1415.750814
0.0,1263,1423.027838
0.0,1130,1429.392985
0.0,1090,1435.562153
0.0,1254,1442.908595
800.0,1196,1449.826034
0.0,688,1453.666849
0.0,186,1454.493489
0.0,1249,1462.384843
0.0,1534,1471.295172
1600.0,649,1474.979497
800.0,1670,1484.759562
0.0,1930,1496.51017
800.0,986,1502.130993
1600.0,2061,1514.448216
0.0,398,1516.551083
0.0,685,1520.320962
800.0,1068,1526.450737
0.0,321,1528.004797
0.0,1863,1539.087113
0.0,1184,1545.973688
0.0,1342,1553.788135
0.0,696,1557.500273
0.0,897,1562.56446
0.0,550,1565.510734
1600.0,996,1571.133592
3200.0,1849,1581.879692
0.0,1716,1591.876417
0.0,702,1595.72611
0.0,845,1600.478515
0.0,832,1605.698356
1600.0,1433,1614.091595
1600.0,1507,1622.934116
0.0,410,1624.969315
0.0,2171,1637.812852
0.0,1432,1646.163001
0.0,998,1651.854895
800.0,444,1654.301625
0.0,321,1655.972424
0.0,1140,1662.586871
0.0,1488,1671.164086
0.0,2037,1683.233884
3200.0,2073,1695.449514
800.0,2118,1708.143415
0.0,1127,1714.632725
0.0,882,1719.607228
0.0,1342,1727.583834
0.0,1545,1737.042621
0.0,1422,1745.349586
0.0,1126,1751.861038
0.0,688,1755.652082
2400.0,1708,1765.67638
0.0,1561,1774.926096
0.0,1995,1786.62849
0.0,1237,1793.805829
0.0,1037,1799.785413
0.0,433,1802.110977
1600.0,1855,1812.998367
1600.0,1472,1821.655689
0.0,324,1823.34386
0.0,1322,1830.93906
0.0,679,1834.721111
0.0,400,1836.771122
1600.0,1861,1847.711683
800.0,1845,1858.64998
0.0,1564,1867.823309
0.0,717,1871.842848
0.0,685,1875.904596
0.0,1285,1884.06065
0.0,1308,1892.126606
0.0,990,1898.152589
800.0,2517,1913.950355
800.0,1521,1922.945494
800.0,1658,1932.697458
0.0,1456,1941.438368
0.0,1260,1950.896942
0.0,1494,1960.49096
0.0,629,1964.217027
1600.0,1334,1972.883073
0.0,1860,1984.494069
0.0,1399,1992.923283
0.0,1336,2002.55888
800.0,1302,2014.160901
800.0,2194,2033.519199
0.0,776,2037.962882
0.0,716,2041.991839
0.0,2013,2054.25024
0.0,1339,2062.369595
0.0,845,2067.29173
0.0,1264,2074.880769
0.0,705,2078.885238
0.0,2138,2091.830713
0.0,548,2094.782745
800.0,917,2099.952692
0.0,1007,2105.815564
0.0,864,2110.943145
0.0,1978,2122.946886
0.0,2166,2136.280803
0.0,807,2141.301056
0.0,1245,2148.914209
0.0,1062,2155.328304
0.0,1419,2163.745854
0.0,2014,2177.104619
0.0,1528,2191.876082
800.0,918,2198.687872
800.0,2210,2216.216464
0.0,778,2223.50082
0.0,1537,2233.981591
0.0,1399,2244.572543
0.0,1240,2254.300215
0.0,820,2260.127853
0.0,1660,2280.69556
0.0,891,2287.558581
0.0,1486,2299.474555
0.0,1077,2311.339547
800.0,546,2317.017198
0.0,2082,2333.604575
0.0,1487,2347.214804
0.0,1459,2358.445955
0.0,1125,2376.359956
0.0,1664,2389.036349
0.0,1503,2399.169374
0.0,1116,2406.801499
0.0,2020,2421.318304
0.0,1080,2428.798435
0.0,1418,2438.494465
0.0,1419,2448.372195
1600.0,2090,2462.526736
1600.0,2088,2477.649231
1600.0,2009,2492.38683
0.0,1673,2504.258607
0.0,1034,2511.690734
0.0,737,2516.413486
0.0,285,2517.951491
0.0,1435,2528.140482
0.0,842,2533.75399
0.0,836,2539.257733
0.0,1196,2547.802061
0.0,1981,2562.388396
0.0,1586,2574.127222
0.0,1974,2588.401327
0.0,1367,2597.753524
0.0,1186,2608.623844
0.0,1288,2624.663529
0.0,755,2631.576367
800.0,1422,2645.452136
1600.0,1715,2663.367342
0.0,831,2669.58513
0.0,905,2676.298971
0.0,1934,2692.221239
0.0,815,2698.364089
0.0,1931,2713.355747
0.0,776,2718.740042
1600.0,2744,2738.703557
0.0,1017,2746.114756
800.0,1330,2756.429608
1600.0,2010,2772.146026
0.0,1306,2781.456245
1600.0,1690,2793.669536
0.0,1538,2804.778738
0.0,1588,2816.400086
0.0,1292,2825.923225
0.0,1381,2835.977287
0.0,680,2840.657474
3200.0,1964,2855.128064
800.0,1797,2868.053587
0.0,1543,2878.874926
0.0,1080,2886.028994
0.0,1640,2897.4035
800.0,2310,2913.791268
0.0,989,2920.55645
0.0,1063,2927.721955
0.0,2496,2944.815281
0.0,1419,2954.517374
0.0,1990,2968.274171
0.0,1486,2978.444001
0.0,1508,2988.625269
0.0,1569,2999.260945
0.0,805,3004.521122
0.0,1708,3016.264034
0.0,1908,3029.502247
0.0,1281,3038.2562
0.0,1976,3051.596858
0.0,753,3056.474822
0.0,486,3059.329547
0.0,2039,3073.156158
0.0,1528,3083.398386
0.0,1650,3094.414163
0.0,2070,3108.730832
0.0,1418,3118.274358
1600.0,1560,3128.803914
0.0,772,3133.929965
0.0,1962,3147.282675
0.0,2080,3161.784629
0.0,1565,3172.899031
0.0,1887,3185.632912
0.0,1545,3196.016389
1600.0,2423,3212.519965
0.0,765,3217.360773
