#{"t_start": 1756398273.243715, "env_id": "ALE/MarioBros-v5"}
r,l,t
0.0,715,1491.031429
0.0,299,1492.569622
0.0,1538,1501.504376
0.0,545,1504.482609
0.0,1393,1512.626372
0.0,389,1514.731394
0.0,1761,1525.226653
0.0,1174,1532.125431
0.0,838,1536.819772
800.0,1072,1542.929689
0.0,1542,1551.978047
0.0,1410,1560.042465
0.0,1558,1569.097107
800.0,447,1571.338236
0.0,956,1576.612612
0.0,912,1581.845189
0.0,842,1586.541574
0.0,1484,1595.308229
0.0,1472,1603.960851
0.0,1444,1612.722705
0.0,1410,1621.058315
0.0,612,1624.254996
0.0,714,1628.216621
0.0,1260,1635.578527
0.0,1638,1645.053792
1600.0,1800,1655.943581
0.0,994,1661.590363
1600.0,2232,1674.769045
800.0,905,1679.913205
0.0,728,1684.059245
0.0,1280,1691.437735
0.0,456,1693.710644
1600.0,1852,1704.651375
0.0,1543,1713.760616
0.0,2301,1727.532267
0.0,1283,1735.547991
0.0,2237,1748.913956
1600.0,1550,1757.891349
0.0,1292,1765.426827
0.0,1393,1773.718055
1600.0,2037,1785.650891
0.0,888,1790.728326
0.0,1553,1799.946249
1600.0,1497,1808.587224
800.0,2477,1823.316468
0.0,2115,1835.960672
0.0,1194,1842.885537
0.0,1554,1851.979988
0.0,1725,1862.094495
0.0,836,1866.850975
800.0,1928,1878.653875
0.0,699,1883.232752
0.0,931,1888.633405
1600.0,2459,1904.626044
0.0,1214,1911.755603
0.0,841,1916.596568
800.0,1087,1922.885664
0.0,824,1927.461693
2400.0,2154,1940.299732
0.0,1043,1948.311427
0.0,831,1954.098441
0.0,2004,1966.623203
0.0,1966,1979.489793
0.0,1267,1986.980165
1600.0,1353,1995.347561
0.0,1775,2010.096389
0.0,1218,2020.064886
1600.0,2314,2038.623875
0.0,1452,2047.499146
0.0,2186,2060.71889
0.0,1554,2070.443002
0.0,1978,2082.45726
0.0,1078,2088.845799
2400.0,2044,2101.245135
0.0,1478,2110.000249
0.0,728,2114.104999
0.0,1369,2122.289099
0.0,1039,2128.331135
0.0,1526,2137.85197
0.0,998,2143.908846
0.0,457,2146.349323
0.0,835,2151.277228
0.0,1074,2157.771384
0.0,731,2161.827585
0.0,910,2167.122934
0.0,815,2173.190301
0.0,2086,2191.126079
0.0,1153,2200.448332
0.0,186,2201.442929
0.0,1794,2215.161598
0.0,1745,2229.69289
1600.0,1419,2239.824836
0.0,772,2245.757172
1600.0,1302,2255.160443
0.0,1456,2269.118121
0.0,1390,2285.33263
1600.0,1852,2300.010781
0.0,1242,2313.678358
0.0,1214,2324.519276
0.0,841,2330.843266
0.0,1080,2338.750753
0.0,904,2347.675291
0.0,1457,2358.914501
0.0,841,2372.717336
0.0,1342,2385.036441
0.0,2305,2400.791478
0.0,803,2406.14368
0.0,589,2410.384286
0.0,900,2416.475335
0.0,971,2423.000666
0.0,748,2428.039854
0.0,866,2433.753345
0.0,1538,2444.361419
0.0,1048,2451.382577
800.0,2512,2468.669591
1600.0,1423,2479.072252
0.0,1967,2493.507173
0.0,2316,2510.31286
0.0,265,2511.802695
0.0,616,2515.753089
0.0,421,2518.310357
0.0,1341,2527.768892
0.0,1863,2540.597722
0.0,2224,2556.754136
0.0,984,2564.49191
0.0,1371,2574.236322
0.0,1570,2585.621588
0.0,1781,2597.961885
1600.0,1389,2610.831417
800.0,1559,2630.178667
0.0,309,2632.726353
0.0,1018,2641.35273
0.0,837,2651.578967
0.0,785,2659.628529
1600.0,750,2665.159725
0.0,599,2669.606295
0.0,1420,2680.296209
0.0,237,2681.891595
1600.0,1260,2692.021175
0.0,1287,2701.86956
0.0,1033,2709.674366
0.0,1020,2717.332743
1600.0,1245,2726.263265
0.0,1972,2740.367415
1600.0,1737,2753.703293
0.0,990,2761.831068
0.0,876,2768.069269
0.0,1370,2777.728989
800.0,1667,2789.647174
800.0,1079,2797.167845
0.0,1601,2808.905452
0.0,597,2813.080557
0.0,1326,2822.714164
800.0,1486,2833.906884
0.0,1491,2844.858012
0.0,688,2849.535213
0.0,231,2850.834164
0.0,699,2855.661378
1600.0,1807,2868.731807
0.0,1973,2882.447305
800.0,2254,2898.195965
0.0,1442,2908.545319
0.0,1290,2917.189698
1600.0,2197,2932.621413
1600.0,2008,2946.496138
0.0,1302,2955.486267
0.0,1286,2964.197757
0.0,1619,2975.283984
0.0,1348,2984.490566
0.0,1246,2992.754985
0.0,715,2997.305534
0.0,2324,3013.428142
800.0,1444,3023.369374
2400.0,1728,3035.408621
0.0,1866,3047.872405
0.0,1970,3061.214016
0.0,2748,3080.035583
0.0,2132,3094.469267
0.0,2035,3108.556936
0.0,684,3112.880267
0.0,2058,3126.856205
0.0,1906,3140.068068
0.0,1479,3150.149858
0.0,877,3155.791073
0.0,1301,3165.12809
0.0,1722,3176.755977
0.0,728,3181.46118
0.0,2276,3197.084992
800.0,898,3202.831939
1600.0,627,3206.786361
0.0,2128,3221.29107
1600.0,1631,3232.226098
0.0,1222,3240.242167
2400.0,2117,3254.739391
0.0,1971,3268.117499
0.0,2058,3282.016871
0.0,1463,3292.015131
0.0,2309,3307.958486
0.0,2070,3321.908726
1600.0,1845,3334.346751
0.0,1466,3344.112213
0.0,2310,3359.734061
0.0,755,3364.587531
0.0,1200,3372.521459
0.0,1659,3383.954854
0.0,2221,3399.023952
0.0,1974,3412.659213
0.0,1833,3425.014086
800.0,1638,3436.274653
0.0,1280,3444.798373
0.0,1691,3456.1718
0.0,1968,3469.876939
0.0,1365,3478.901575
0.0,1558,3489.319691
0.0,1375,3498.445676
0.0,1922,3511.572103
0.0,1096,3518.807041
0.0,1877,3531.670358
0.0,2252,3546.986262
0.0,2580,3564.555113
0.0,870,3570.285625
0.0,2731,3588.919236
0.0,1574,3599.419033
0.0,1400,3608.745096
800.0,2455,3625.532616
0.0,1326,3634.496978
0.0,1721,3646.031138
0.0,1435,3655.566346
0.0,569,3659.567038
0.0,1962,3672.809873
0.0,1470,3682.902945
0.0,1978,3696.430755
2400.0,2509,3713.526509
0.0,836,3719.000381
0.0,2363,3735.07286
0.0,1280,3743.692545
0.0,2115,3758.291883
0.0,1743,3770.125099
800.0,1631,3781.451787
0.0,2750,3800.674015
0.0,2062,3814.694153
0.0,2415,3831.234466
1600.0,1294,3839.907101
0.0,2070,3854.131918
0.0,700,3858.563632
0.0,2096,3873.013629
1600.0,2455,3889.947168
0.0,1557,3900.427574
0.0,1974,3913.900526
0.0,2068,3932.120764
0.0,2196,3953.850302
0.0,2410,3969.611504
0.0,1461,3979.003745
2400.0,2503,3995.337041
800.0,2547,4011.891884
0.0,1253,4019.903967
0.0,1962,4032.800152
800.0,1285,4041.100056
800.0,1546,4050.989508
800.0,2073,4064.839731
0.0,2260,4079.674381
0.0,1283,4087.915932
0.0,1834,4100.18359
0.0,1588,4110.662346
0.0,1382,4119.636993
0.0,1127,4126.894214
1600.0,1491,4136.498967
0.0,1044,4143.088785
0.0,2103,4157.384084
0.0,1967,4170.199354
800.0,2054,4183.856931
0.0,2326,4199.00464
0.0,2513,4215.48744
0.0,2158,4229.717776
0.0,2420,4245.630475
0.0,1328,4254.177655
0.0,2074,4267.544929
0.0,1620,4277.805294
0.0,1560,4287.92159
0.0,1625,4298.640521
0.0,584,4302.182615
0.0,2517,4318.66043
0.0,1123,4325.771069
0.0,1071,4332.582535
800.0,1694,4343.392093
0.0,1321,4351.784061
800.0,2398,4367.468068
0.0,844,4372.74234
800.0,2304,4387.666266
0.0,3102,4407.92559
0.0,2028,4421.055496
0.0,2744,4438.843615
0.0,1975,4451.760856
2400.0,2309,4466.82306
0.0,1294,4474.990757
0.0,1678,4486.456007
0.0,2038,4499.71656
0.0,704,4504.021096
0.0,2112,4517.940589
0.0,1785,4529.780577
800.0,2155,4544.56602
0.0,1128,4551.973369
0.0,2316,4567.618668
0.0,2454,4583.959107
0.0,2266,4600.994495
0.0,1330,4609.985386
0.0,1402,4619.159875
0.0,2003,4632.596393
0.0,1383,4641.706198
3200.0,1970,4654.97898
0.0,1893,4667.705143
800.0,2438,4684.582826
0.0,1437,4694.152611
0.0,2076,4708.175438
0.0,1292,4716.837163
0.0,672,4721.086198
0.0,1360,4729.995035
0.0,761,4734.84901
0.0,1975,4748.194138
0.0,1408,4757.588121
800.0,2452,4774.135292
0.0,2820,4793.566673
1600.0,2270,4808.782238
0.0,834,4814.102088
0.0,1721,4825.460848
800.0,2492,4843.154399
800.0,1294,4851.94835
0.0,2112,4866.187222
800.0,1848,4879.395547
0.0,2416,4900.457278
800.0,2256,4919.832167
800.0,1971,4934.340361
0.0,1279,4943.772184
0.0,2398,4965.209385
0.0,1793,4981.429044
0.0,2412,5000.08255
0.0,3067,5020.672852
0.0,1814,5032.728671
0.0,905,5038.561992
0.0,1714,5049.821472
0.0,1867,5062.067176
0.0,2506,5079.297342
0.0,1594,5090.049584
0.0,1856,5105.887936
0.0,1566,5119.357206
0.0,1973,5137.166875
800.0,1365,5148.859532
0.0,1979,5166.38663
1600.0,2077,5184.361327
0.0,2272,5204.713124
0.0,1978,5222.571251
0.0,1369,5232.938379
0.0,1236,5241.396429
800.0,1248,5250.285816
0.0,2702,5272.306465
0.0,2155,5286.732105
0.0,2265,5301.938276
0.0,1791,5314.03404
0.0,3253,5336.397943
0.0,2515,5353.397294
0.0,2212,5368.319741
0.0,2271,5383.609482
0.0,1571,5394.09159
0.0,1570,5404.746898
0.0,1561,5415.25112
800.0,2452,5431.930281
0.0,687,5436.350187
800.0,2418,5452.800988
0.0,2069,5466.608093
0.0,1934,5479.448814
0.0,1600,5490.373602
1600.0,3176,5511.82385
800.0,3203,5536.309292
0.0,2398,5554.291406
0.0,1254,5563.158484
0.0,1982,5578.441974
0.0,2516,5596.986846
1600.0,2024,5612.931425
0.0,1600,5623.732463
0.0,2257,5639.946635
0.0,1511,5650.278375
0.0,2072,5664.697151
0.0,2223,5680.015242
0.0,2275,5697.248741
0.0,1290,5706.036274
0.0,2453,5722.633103
0.0,2439,5740.287162
0.0,3258,5765.282066
0.0,2082,5781.223192
0.0,1466,5791.195479
0.0,2125,5807.433459
0.0,2090,5822.058821
0.0,2053,5836.487312
0.0,2080,5850.875988
0.0,2175,5866.622138
0.0,3216,5890.226183
0.0,1977,5906.506862
0.0,3261,5935.985112
0.0,2707,5957.635419
0.0,2720,5977.579846
1600.0,3221,6000.289362
0.0,2716,6020.732649
0.0,2430,6038.391309
0.0,1962,6058.722312
0.0,2582,6093.093284
0.0,1076,6103.541342
0.0,2141,6126.489289
0.0,2715,6149.689995
0.0,2270,6174.52987
0.0,2070,6194.180411
0.0,2387,6218.576291
0.0,3067,6241.989877
0.0,4522,6277.890978
0.0,2293,6300.017228
0.0,2723,6334.242999
800.0,3221,6367.34423
2400.0,2710,6393.180723
0.0,2399,6415.8024
0.0,3414,6449.964392
0.0,2158,6470.403941
1600.0,3451,6505.367076
800.0,3084,6536.846113
800.0,2082,6553.01656
0.0,2260,6576.396514
0.0,2615,6603.127015
0.0,3151,6639.770462
0.0,2495,6665.029346
0.0,2810,6688.744387
0.0,4967,6742.476685
800.0,4157,6786.226464
1600.0,4053,6828.219279
0.0,2722,6850.790072
0.0,696,6855.488906
0.0,2528,6873.785323
1600.0,3237,6897.047815
0.0,4210,6926.23109
800.0,3400,6949.755684
